game_id,name,release_date,total_reviews,positive_percent,genres,tags,current_price,discounted_price,owners,days_after_publish,review,owner_min,owner_max,owners_log_mean
201270,Total War: SHOGUN 2,2011-03-15,34853,90.72488275541802,Strategy,Strategy,15.067263417560318,3.757722395182057,"2,000,000 .. 5,000,000",5210,"yes Best of the total war series, blood mod is necessary Gud Ich mag halt einfach Japan!!! Fun with a lot of variety [Update 0]",2027369.0024653152,4954158.6578090815,3169212.472545396
427520,Factorio,2020-08-19,172004,96.93792640986362,"Casual, Indie, Simulation, Strategy",Casual;Indie;Simulation;Strategy,0.0,0.0,"5,000,000 .. 10,000,000",1775,"Juste une minute de plus, après j'arrête. xenophobia in its final form I have no idea what I'm doing. All I know is the factory must expand. one of the most entertaining games i've ever played. Bought the game and couldn't stop playing [Update 1]",4970956.0932988245,9947483.019282185,7031962.83605704
534380,Dying Light 2 Stay Human: Reloaded Edition,2022-02-13,146950,79.73118906017301,"Action, Adventure, RPG",Action;Adventure;RPG,40.60533211554908,12.86828194299411,"5,000,000 .. 10,000,000",1242,"Na początku mojej przygody z Dying Light 2 skupiłem się głównie na szybkim przejściu fabuły, co szczerze mówiąc nie zrobiło na mnie dużego wrażenia. Gra wydawała się wtedy trochę nijaka. Jednak postanowiłem zacząć od nowa, tym razem skupiając się bardziej na eksploracji, misjach pobocznych i ogólnym klimacie świata. I to była świetna decyzja. Z czasem gra naprawdę mnie wciągnęła. Klimat miasta, poczucie zagrożenia i chaosu wszystko jest bardzo dobrze oddane. Mechanika walki jest świetna brutalna, dynamiczna i satysfakcjonująca. Każda walka daje frajdę, zwłaszcza gdy nauczysz się wykorzystywać otoczenie i parkur. A skoro już o tym mowa parkur to temat, który budzi u mnie mieszane uczucia. Z jednej strony daje dużo swobody i radości z przemieszczania się po mieście, ale z drugiej czasami działa, jak chce. Zdarzało się, że postać nie złapała się krawędzi, mimo że wyraźnie powinna, albo że nie mogłem zejść w dół po złapaniu się jakiejś krawędzi. Trochę frustrujące, ale da się przyzwyczaić. W porównaniu do pierwszej części Dying Light miało nieco inny klimat, bardziej surowy i mroczny, którego trochę mi tu brakuje. Mimo to, dwójka nadal trzyma wysoki poziom i oferuje masę dobrej zabawy. Moja ocena: 8.510 zdecydowanie warto zagrać, szczególnie jeśli lubisz połączenie parkuru, walki i klimatu postapo. To be fair, I'm early on. Still, I'll cover the very few let downs for me, before singing the game's praises. I honestly hoped this continued Kyle Crane's story. I just got attached to that character, and was hoping for some sense of progression with the skills I had already gained from the first game. I didn't look into what this game was before I bought it, though. That said, Aiden is quickly growing on me. The combat just doesn't feel as fluid as the first game. That will likely improve as I gain more skills, but this guy is supposed to be someone who's been a Pilgrim for years. That and the gene therapy he had I'm assuming that's what it was, he should already be a bad. Now, the positives. I mean, where to start? The game is beautiful, run's smooth, and the story already has me hooked! I can see how the parkour and combat will become better with more skills and stats, even if it's a bit of a pain for now. I love how the protagonists and characters are done in the Dying Light games! There's genuine personality and it feels more like how people would really act and speak in the world they are in. The side quests are fairly unique and satisfying, much like the Witcher. I'm also a fan of stealth being a factor in the game. Honestly, despite the few things that felt like a temporary let down, I'd easily call this game a 910 for the type of game it is. It may be 1010 by the time I finish : I do hope to try the coop at some point. I can see how this one is far better designed for an engaging coop experience, than the first one. Keeping in mind, the first one was still really good. All in all, AWESOME job dev team! this game made me kill a dog and is full of bugs after like 3 years of being on steam 6666666666 fun game but def failed expectations. I swear they remade this whole game after they fired the lead bc of some made up me too movement thing. Feels like they auto generated the whole world rinse and repeat but combat is fun and hopefully the beast is the complete opp when it comes to world.. graphics look way better in the next one but as a dying light fan you should play the whole series. [Update 2]",5030172.061251907,9974895.603191422,7083462.513282468
815370,Green Hell,2019-09-20,61112,85.91806644175261,"Action, Adventure, Indie, Simulation",Action;Adventure;Indie;Simulation,12.498434272765522,3.0755478565901404,"2,000,000 .. 5,000,000",2129,"Toller Service. Tolles Game! Playing multiplayer is a game changer. I really like that you can change the settings to get rid of certain bugsanimals, the leeches freak me tf out makes me cream good game MUITO BOM [Update 3]",1989112.3455094963,5005546.129485493,3155407.0422335165
1466060,Tainted Grail: The Fall of Avalon,2025-06-12,13306,86.73743857443499,"Action, Adventure, Indie, RPG",Action;Adventure;Indie;RPG,21.391490689858294,20.564591552658253,"200,000 .. 500,000",47,"its GOTY for me skyrim in the first map elden ring in the next 1010 Excelente juego de fantasía oscura en primera persona. Si bien no inventa nada nuevo y deja bastante claros cuáles son sus referentes, vayamos por partes con lo que más me ha gustado: La jugabilidad recuerda mucho a títulos como The Elder Scrolls, pero con un giro interesante: el simple hecho de añadir un dash y mecánicas de parry lo vuelve mucho más dinámico y entretenido. El apartado artístico es simplemente sublime. Los paisajes, el diseño de entornos y personajes, el equipo... Todo está impregnado de alma y ese toque oscuro y decadente que personalmente me fascina. No hay un solo rincón que no transmita esa atmósfera. La banda sonora es potente, con varios temas memorables que brillan en momentos clave. Y el mayor punto fuerte: la trama. Oscura, compleja y absorbente desde el primer momento. Es cierto que decae un poco en el segundo y tercer acto, pero eso no empaña el conjunto. La historia principal mantiene el interés hasta el final. Mención especial a las misiones secundarias: algunas están a la altura de las mejores de Divinity: Original Sin II o The Witcher 3. No es poca cosa. Ahora, lo que menos me ha gustado: A nivel técnico, el juego muestra sus costuras. No hablo tanto del apartado gráfico que, aunque modesto, es bonito y funcional sino de problemas más serios: popping muy visible, caídas de rendimiento en ciertas zonas, tirones, errores visuales Por ejemplo, hay áreas enteras que no pasan de los 50 FPS a pesar de que la CPU va sobrada. Confío en que muchos de estos fallos se corrijan en futuros parches. La animación del caballo es rara y poco fluida. Da la sensación de que la mecánica se implementó deprisa y sin mucho cariño. Además, el mundo no te empuja a usarlo: caminar es más cómodo. Lo mismo ocurre con la vista en tercera persona. Entiendo que se añadió por petición de la comunidad o como medida de accesibilidad, pero sinceramente no era necesario. No se ve bien, no se controla bien, no se siente bien. Parece un mod, y uno no muy bien integrado. A pesar de estos fallos aquí y allá, Awaken Realms ha creado un universo fascinante al que me encantaría volver. Questline ha hecho un trabajo sólido con los recursos que tenía y ha sabido dar vida a una fantasía oscura rica en detalles y alma. Si te gustan los RPG de la vieja escuela, donde cada decisión importa y puedes perderte en un mundo abierto lleno de secretos si disfrutas de las ambientaciones densas y sombrías y si, como un servidor, eres fan del mito artúrico, Camelot y los caballeros de la mesa redonda, no se que esperas a jugarlo. Quickly becomes boring in the middle of Act 2 - everything is the same, enemy AI is poor and basic - even bosses are copies of each other. A lot of bugs - key NPCs for quests can disappear, sometimes you cant interact with objects, quite often you can move through textures, some quest events can crash the game... Last Act 3 - just joke - instead of grand city and finale - we have 4 villages with a lot of boring quests. I believe devs should release full game a bit later, cuz right now game looks unfinished and raw Tainted grail is REALLY good and fills that missing elder scrolls niche for the first two acts of the game, very dense, good dungeon design, fun combat for every style, nice skill trees, tons of unique magic items and spells, looks good, a few lovely characters, just a very very dense well made game then you get to the final area and it becomes extraordinarily clear that the game isn't finished. Missing geometry, bugged quests, major characters with no voice acting suddenly, no rewards from dungeons, major faction questlines ending with a very weak binary choice that affects nothing and no rewards, quests that by their description should have some complex or nuanced solutions that just summon an enemy and you kill it for no reward, less quests in general, areas and characters just showing their filenames SceneEnding_AlchemistDungeon_Final. things like that everywhere. While its understandable for a dev to have to rush a game out the door due to deadlines and investors being demons in human skin this one REALLY needed to cook for another few months to a year and just have act 3 release later. Great game up until then though, I hope the devs fix it so it lives up to its potential and ambition. One of the best classic rpgs in last years [Update 4]",202238.84722312365,503895.963172575,319229.2886193357
1604270,Broken Arrow,2025-07-14,2511,71.44945112182508,Strategy,Strategy,22.86731413999661,22.9887291444526,"0 .. 20,000",25, [Update 5],0.0,20077.869782651225,0.0
1881700,Undawn,2023-07-14,6361,53.776629264513424,,,0.0,0.0,"500,000 .. 1,000,000",766, [Update 6],493032.91529563646,978216.6575317628,694473.1891539358
1966720,Lethal Company,2023-11-28,394028,96.47805179588258,"Action, Adventure, Indie, Early Access",Action;Adventure;Indie;Early Access,5.832757214981735,5.7999222234809,"10,000,000 .. 20,000,000",639,"funny имба Good Game Amazing game on it's own, but with mods you can become Barack Obama holding a shotgun. 1010 game, do I even need to explain? I love this so much. One of the best games. There's a ton of features. Unique and awesome monsters with their own mechanics and unique moons with special stuff like weather and eclipses. [Update 7]",9988435.171761176,19939779.260882143,14112660.716057383
2131680,METAL GEAR & METAL GEAR 2: Solid Snake,2023-12-03,440,84.38685020841685,Action,Action,10.433548939691555,5.1694340676982655,"20,000 .. 50,000",644,"very good The inclusion of Metal Gear 1987 and Metal Gear 2: Solid Snake 1990 in the Master Collection Vol. 1 offers players on Steam a rare and welcome opportunity to experience the origins of the stealth-action genre. These two MSX2 classics are more than just historical curiositiesthey are the foundation upon which one of gamings most iconic sagas was built. And despite their age, they still carry surprising narrative and mechanical weight. The original Metal Gear may feel rudimentary by todays standards, but it introduced a revolutionary concept: stealth as a primary gameplay mechanic. Rather than encouraging direct confrontation, the game asked players to avoid enemies, manage limited resources, and think tactically. In an era dominated by run-and-gun gameplay, this was groundbreaking. That said, the Steam version is a straight port of the MSX2 release, complete with its infamous limitations. The control scheme is stiff, enemy AI is simplistic, and there's a notable lack of in-game guidance, which may frustrate modern audiences. Yet, for those willing to look past these dated elements, the game still holds up as a fascinating piece of design history. Its the prototype blueprint of what Metal Gear Solid would later perfect. Metal Gear 2:Solid Snake is where the series truly found its voice. Mechanically, its a massive leap forward: enemies can now move across screens and detect sound, Snake can crawl and punch diagonally, and the level design feels far more intricate. The writing is also richer, offering shades of the philosophical themes Kojima would later become known forwar, loyalty, identity. While still bound by 8-bit limitations, MG2 is a far more playable and compelling experience today. The structure resembles later Metal Gear Solid entries much more closely than youd expect, and its cinematic ambitions are already taking form. If you can play only one of the two, Metal Gear 2 is the one that holds up best by modern standards. The emulation quality is stable and faithful, though very barebones. There are no enhanced features, no modern conveniences like save states, and the resolution is locked to the original pixel scale. Players used to modern emulation suites might find the presentation underwhelming. However, the bundled manuals and digital extras accessible from the launcher help contextualize the experience, especially for new players. As games, Metal Gear and Metal Gear 2 are clearly products of their timebut their influence is undeniable. Nearly every game dev sim has mimicked their basic structure in some form, and their DNA runs through not just the Metal Gear franchise, but stealth games in general. Experiencing them today is like playing the Rosetta Stone of stealth gaming: flawed, fascinating, and essential. Rating: 710 Dated in form, foundational in spirit. A must-play for fans of game history or stealth genre originsjust be ready for some clunky design. Metal Gear 1 : Recommend if you want to play the original game that is said to have launched the stealth game genre and live that retro game feeling of 80-90s. Recommend if you are willing to look up on the internet and follow up guides that will probably mean bollocks to you at first because you have long gone past the point that it makes sense! Recommend if you like self torture of backtracking tedious 80's pixelated levels to get the items that nobody knows that they are there except the devs themselves! or the wizard people of old days who played this for countless hours and found those secrets themselves and wrote guides I strongly suggest casual gamers to play the game only if you are willing to put through all of these. Following a guide from start will save you from lot of frustration, but if you are into self torture like me, look up only when you have tried first on your own and nothing comes up... When you can't even say A good way to experience the very beginnings of a great series. The games, while having plenty of NES era BS, are incredibly innovative for the time, and so many of the mechanics just won't be found in games of a similar age. There's a fun arsenal of weapons to use, the pixel artwork is great, and the story is quite involved. As a remasterport, it's pretty run of the mill, but it's still nice to have a new way to play the games. My one suggestion for how to play this game if you do pick it up is to always have a guide on standby. Save yourself the frustrations from the more cryptic parts of the game, and just have fun admiring the achievements of the early days of the Metal Gear franchise. [Update 8]",19823.88174679058,49434.72384765922,31304.761933949354
2252570,Football Manager 2024,2023-12-21,13896,90.06721444131401,"Simulation, Sports, Strategy",Simulation;Sports;Strategy,39.239916858794615,39.44342382265937,"1,000,000 .. 2,000,000",636,"oyun motoru daha iyi olabilir özellikle çok saçma puan kayıpları oluyor Excelente, cada vez mais completo e desafiador. 이 게임으로 난 최악의 남자가 되었다! Jobe Bellingham is a fücking god, i love nelson mandela weiper. My goat is chris the triggster rigg великолепно, Динамо сила [Update 9]",1006363.0510834518,1981865.5866284014,1412259.2887273403
